datetime,csi1000,csi500,hs300,sse
2004-12-31,1000.0,1000.0,1000.0,1266.496
2005-01-04,989.984,986.927,982.794,1242.774
2005-01-05,1013.583,1003.633,992.564,1251.937
2005-01-06,1005.465,994.595,983.174,1239.43
2005-01-07,1011.74,997.606,983.958,1244.746
2005-01-10,1023.638,1006.337,993.879,1252.401
2005-01-11,1027.159,1008.343,997.135,1257.462
2005-01-12,1024.92,1008.62,996.748,1256.923
2005-01-13,1029.298,1013.07,996.877,1256.314
2005-01-14,1011.875,1000.169,988.306,1245.62
2005-01-17,986.661,977.522,967.452,1216.652
2005-01-18,1008.107,991.419,974.689,1225.454
2005-01-19,1002.46,986.241,967.21,1218.108
2005-01-20,989.441,972.463,956.245,1204.394
2005-01-21,1006.25,988.519,982.604,1234.476
2005-01-24,1028.011,1008.175,998.133,1255.777
2005-01-25,1015.1,999.553,997.775,1254.234
2005-01-26,1006.84,987.955,989.928,1241.958
2005-01-27,989.414,971.373,974.631,1225.891
2005-01-28,963.005,952.413,969.209,1213.673
2005-01-31,924.166,922.653,954.879,1191.823
2005-02-01,905.802,913.331,955.951,1188.931
2005-02-02,958.392,964.243,1006.913,1252.5
2005-02-03,936.861,945.312,993.215,1242.307
2005-02-04,952.392,962.028,1016.858,1269.004
2005-02-16,966.385,972.337,1023.584,1278.88
2005-02-17,973.808,977.272,1020.606,1276.134
2005-02-18,964.005,964.769,1006.055,1258.969
2005-02-21,983.608,981.819,1025.633,1284.48
2005-02-22,1015.658,1007.688,1046.744,1309.277
2005-02-23,1032.895,1019.258,1043.944,1309.475
2005-02-24,1035.348,1024.446,1045.46,1309.949
2005-02-25,1032.413,1024.118,1046.761,1312.445
2005-02-28,1029.384,1020.847,1039.989,1306.003
2005-03-01,1030.815,1021.162,1035.934,1303.412
2005-03-02,1014.527,1006.148,1021.32,1287.45
2005-03-03,1020.248,1011.288,1027.71,1294.339
2005-03-04,1011.361,1003.21,1023.667,1287.714
2005-03-07,1013.594,1006.953,1029.871,1293.739
2005-03-08,1037.029,1029.457,1048.987,1318.271
2005-03-09,1042.182,1032.55,1046.544,1316.791
2005-03-10,1011.791,1005.545,1022.413,1286.233
2005-03-11,1017.453,1009.434,1027.429,1289.941
2005-03-14,1005.987,1007.766,1031.026,1293.5
2005-03-15,993.476,993.831,1013.523,1269.144
2005-03-16,982.837,983.916,1003.065,1255.589
2005-03-17,967.593,970.966,992.863,1243.475
2005-03-18,946.705,949.509,978.665,1227.403
2005-03-21,950.792,949.553,981.893,1231.046
2005-03-22,915.939,922.564,964.024,1206.922
2005-03-23,915.974,923.194,959.01,1201.649
2005-03-24,928.54,933.347,964.801,1208.192
2005-03-25,923.196,931.417,962.955,1205.634
2005-03-28,911.354,922.923,960.696,1200.113
2005-03-29,904.823,916.811,955.19,1195.018
2005-03-30,869.583,888.949,937.034,1172.574
2005-03-31,880.901,896.068,942.203,1181.236
2005-04-01,913.851,927.546,978.145,1223.566
