,trade_date
0,1990/12/19
1,1990/12/20
2,1990/12/21
3,1990/12/24
4,1990/12/25
5,1990/12/26
6,1990/12/27
7,1990/12/28
8,1990/12/31
9,1991/1/2
10,1991/1/3
11,1991/1/4
12,1991/1/7
13,1991/1/8
14,1991/1/9
15,1991/1/10
16,1991/1/11
17,1991/1/14
18,1991/1/15
19,1991/1/16
20,1991/1/17
21,1991/1/18
22,1991/1/21
23,1991/1/22
24,1991/1/23
25,1991/1/24
26,1991/1/25
27,1991/1/28
28,1991/1/29
29,1991/1/30
30,1991/1/31
31,1991/2/1
32,1991/2/4
33,1991/2/5
34,1991/2/6
35,1991/2/7
36,1991/2/8
37,1991/2/11
38,1991/2/12
39,1991/2/13
40,1991/2/14
41,1991/2/19
42,1991/2/20
43,1991/2/21
44,1991/2/22
45,1991/2/25
46,1991/2/26
47,1991/2/27
48,1991/2/28
49,1991/3/1
50,1991/3/4
51,1991/3/5
52,1991/3/6
53,1991/3/7
54,1991/3/8
55,1991/3/11
56,1991/3/12
57,1991/3/13
58,1991/3/14
59,1991/3/15
60,1991/3/18
61,1991/3/19
62,1991/3/20
63,1991/3/21
64,1991/3/22
65,1991/3/25
66,1991/3/26
67,1991/3/27
68,1991/3/28
69,1991/3/29
70,1991/4/1
71,1991/4/2
72,1991/4/3
73,1991/4/4
74,1991/4/5
75,1991/4/8
76,1991/4/9
77,1991/4/10
78,1991/4/11
79,1991/4/12
80,1991/4/15
81,1991/4/16
82,1991/4/17
83,1991/4/18
84,1991/4/19
85,1991/4/22
86,1991/4/23
87,1991/4/24
88,1991/4/25
89,1991/4/26
90,1991/4/29
91,1991/4/30
92,1991/5/2
93,1991/5/3
94,1991/5/6
95,1991/5/7
96,1991/5/8
97,1991/5/9
98,1991/5/10
99,1991/5/13
100,1991/5/14
101,1991/5/15
102,1991/5/16
103,1991/5/17
104,1991/5/20
105,1991/5/21
106,1991/5/22
107,1991/5/23
108,1991/5/24
109,1991/5/27
110,1991/5/28
111,1991/5/29
112,1991/5/30
113,1991/5/31
114,1991/6/3
115,1991/6/4
116,1991/6/5
117,1991/6/6
118,1991/6/7
119,1991/6/10
120,1991/6/11
121,1991/6/12
122,1991/6/13
123,1991/6/14
124,1991/6/17
125,1991/6/18
126,1991/6/19
127,1991/6/20
128,1991/6/21
129,1991/6/24
130,1991/6/25
131,1991/6/26
132,1991/6/27
133,1991/6/28
134,1991/7/1
135,1991/7/2
136,1991/7/3
137,1991/7/4
138,1991/7/5
139,1991/7/8
140,1991/7/9
141,1991/7/10
142,1991/7/11
143,1991/7/12
144,1991/7/15
145,1991/7/16
146,1991/7/17
147,1991/7/18
148,1991/7/19
149,1991/7/22
150,1991/7/23
151,1991/7/24
152,1991/7/25
153,1991/7/26
154,1991/7/29
155,1991/7/30
156,1991/7/31
157,1991/8/1
158,1991/8/2
159,1991/8/5
160,1991/8/6
161,1991/8/7
162,1991/8/8
163,1991/8/9
164,1991/8/12
165,1991/8/13
166,1991/8/14
167,1991/8/15
168,1991/8/16
169,1991/8/19
170,1991/8/20
171,1991/8/21
172,1991/8/22
173,1991/8/23
174,1991/8/26
175,1991/8/27
176,1991/8/28
177,1991/8/29
178,1991/8/30
179,1991/9/2
180,1991/9/3
181,1991/9/4
182,1991/9/5
183,1991/9/6
184,1991/9/9
185,1991/9/10
186,1991/9/11
187,1991/9/12
188,1991/9/13
189,1991/9/16
190,1991/9/17
191,1991/9/18
192,1991/9/19
193,1991/9/20
194,1991/9/23
195,1991/9/24
196,1991/9/25
197,1991/9/26
198,1991/9/27
199,1991/9/30
200,1991/10/3
201,1991/10/4
202,1991/10/7
203,1991/10/8
204,1991/10/9
205,1991/10/10
206,1991/10/11
207,1991/10/14
208,1991/10/15
209,1991/10/16
210,1991/10/17
211,1991/10/18
212,1991/10/21
213,1991/10/22
214,1991/10/23
215,1991/10/24
216,1991/10/25
217,1991/10/28
218,1991/10/29
219,1991/10/30
220,1991/10/31
221,1991/11/1
222,1991/11/4
223,1991/11/5
224,1991/11/6
225,1991/11/7
226,1991/11/8
227,1991/11/11
228,1991/11/12
229,1991/11/13
230,1991/11/14
231,1991/11/15
232,1991/11/18
233,1991/11/19
234,1991/11/20
235,1991/11/21
236,1991/11/22
237,1991/11/25
238,1991/11/26
239,1991/11/27
240,1991/11/28
241,1991/11/29
242,1991/12/2
243,1991/12/3
244,1991/12/4
245,1991/12/5
246,1991/12/6
247,1991/12/9
248,1991/12/10
249,1991/12/11
250,1991/12/12
251,1991/12/13
252,1991/12/16
253,1991/12/17
254,1991/12/18
255,1991/12/19
256,1991/12/20
257,1991/12/23
258,1991/12/24
259,1991/12/25
260,1991/12/26
261,1991/12/27
262,1991/12/30
263,1991/12/31
264,1992/1/2
265,1992/1/3
266,1992/1/6
267,1992/1/7
268,1992/1/8
269,1992/1/9
270,1992/1/10
271,1992/1/13
272,1992/1/14
273,1992/1/15
274,1992/1/16
275,1992/1/17
276,1992/1/20
277,1992/1/21
278,1992/1/22
279,1992/1/23
280,1992/1/24
281,1992/1/27
282,1992/1/28
283,1992/1/29
284,1992/1/30
285,1992/1/31
286,1992/2/3
287,1992/2/7
288,1992/2/10
289,1992/2/11
290,1992/2/12
291,1992/2/13
292,1992/2/14
293,1992/2/17
294,1992/2/18
295,1992/2/19
296,1992/2/20
297,1992/2/21
298,1992/2/24
299,1992/2/25
300,1992/2/26
301,1992/2/27
302,1992/2/28
303,1992/3/2
304,1992/3/3
305,1992/3/4
306,1992/3/5
307,1992/3/6
308,1992/3/9
309,1992/3/10
310,1992/3/11
311,1992/3/12
312,1992/3/13
313,1992/3/16
314,1992/3/17
315,1992/3/18
316,1992/3/19
317,1992/3/20
318,1992/3/23
319,1992/3/24
320,1992/3/25
321,1992/3/26
322,1992/3/27
323,1992/3/30
324,1992/3/31
325,1992/4/1
326,1992/4/2
327,1992/4/3
328,1992/4/6
329,1992/4/7
330,1992/4/8
331,1992/4/9
332,1992/4/10
333,1992/4/13
334,1992/4/14
335,1992/4/15
336,1992/4/16
337,1992/4/17
338,1992/4/20
339,1992/4/21
340,1992/4/22
341,1992/4/23
342,1992/4/24
343,1992/4/27
344,1992/4/28
345,1992/4/29
346,1992/4/30
347,1992/5/4
348,1992/5/5
349,1992/5/6
350,1992/5/7
351,1992/5/8
352,1992/5/11
353,1992/5/12
354,1992/5/13
355,1992/5/14
356,1992/5/15
357,1992/5/18
358,1992/5/19
359,1992/5/20
360,1992/5/21
361,1992/5/22
362,1992/5/25
363,1992/5/26
364,1992/5/27
365,1992/5/28
366,1992/5/29
367,1992/6/1
368,1992/6/2
369,1992/6/3
370,1992/6/4
371,1992/6/5
372,1992/6/8
373,1992/6/9
374,1992/6/10
375,1992/6/11
376,1992/6/12
377,1992/6/15
378,1992/6/16
379,1992/6/17
380,1992/6/18
381,1992/6/19
382,1992/6/22
383,1992/6/23
384,1992/6/24
385,1992/6/25
386,1992/6/26
387,1992/6/29
388,1992/6/30
389,1992/7/1
390,1992/7/2
391,1992/7/3
392,1992/7/6
393,1992/7/7
394,1992/7/8
395,1992/7/9
396,1992/7/10
397,1992/7/13
398,1992/7/14
399,1992/7/15
400,1992/7/16
401,1992/7/17
402,1992/7/20
403,1992/7/21
404,1992/7/22
405,1992/7/23
406,1992/7/24
407,1992/7/27
408,1992/7/28
409,1992/7/29
410,1992/7/30
411,1992/7/31
412,1992/8/3
413,1992/8/4
414,1992/8/5
415,1992/8/6
416,1992/8/7
417,1992/8/10
418,1992/8/11
419,1992/8/12
420,1992/8/13
421,1992/8/14
422,1992/8/17
423,1992/8/18
424,1992/8/19
425,1992/8/20
426,1992/8/21
427,1992/8/24
428,1992/8/25
429,1992/8/26
430,1992/8/27
431,1992/8/28
432,1992/8/31
433,1992/9/1
434,1992/9/2
435,1992/9/3
436,1992/9/4
437,1992/9/7
438,1992/9/8
439,1992/9/9
440,1992/9/10
441,1992/9/11
442,1992/9/14
443,1992/9/15
444,1992/9/16
445,1992/9/17
446,1992/9/18
447,1992/9/21
448,1992/9/22
449,1992/9/23
450,1992/9/24
451,1992/9/25
452,1992/9/28
453,1992/9/29
454,1992/9/30
455,1992/10/5
456,1992/10/6
457,1992/10/7
458,1992/10/8
459,1992/10/9
460,1992/10/12
461,1992/10/13
462,1992/10/14
463,1992/10/15
464,1992/10/16
465,1992/10/19
466,1992/10/20
467,1992/10/21
468,1992/10/22
469,1992/10/23
470,1992/10/26
471,1992/10/27
472,1992/10/28
473,1992/10/29
474,1992/10/30
475,1992/11/2
476,1992/11/3
477,1992/11/4
478,1992/11/5
479,1992/11/6
480,1992/11/9
481,1992/11/10
482,1992/11/11
483,1992/11/12
484,1992/11/13
485,1992/11/16
486,1992/11/17
487,1992/11/18
488,1992/11/19
489,1992/11/20
490,1992/11/23
491,1992/11/24
492,1992/11/25
493,1992/11/26
494,1992/11/27
495,1992/11/30
496,1992/12/1
497,1992/12/2
498,1992/12/3
499,1992/12/4
500,1992/12/7
501,1992/12/8
502,1992/12/9
503,1992/12/10
504,1992/12/11
505,1992/12/14
506,1992/12/15
507,1992/12/16
508,1992/12/17
509,1992/12/18
510,1992/12/21
511,1992/12/22
512,1992/12/23
513,1992/12/24
514,1992/12/25
515,1992/12/28
516,1992/12/29
517,1992/12/30
518,1992/12/31
519,1993/1/4
520,1993/1/5
521,1993/1/6
522,1993/1/7
523,1993/1/8
524,1993/1/11
525,1993/1/12
526,1993/1/13
527,1993/1/14
528,1993/1/15
529,1993/1/18
530,1993/1/19
531,1993/1/20
532,1993/1/21
533,1993/1/22
534,1993/1/27
535,1993/1/28
536,1993/1/29
537,1993/2/1
538,1993/2/2
539,1993/2/3
540,1993/2/4
541,1993/2/5
542,1993/2/8
543,1993/2/9
544,1993/2/10
545,1993/2/11
546,1993/2/12
547,1993/2/15
548,1993/2/16
549,1993/2/17
550,1993/2/18
551,1993/2/19
552,1993/2/22
553,1993/2/23
554,1993/2/24
555,1993/2/25
556,1993/2/26
557,1993/3/1
558,1993/3/2
559,1993/3/3
560,1993/3/4
561,1993/3/5
562,1993/3/8
563,1993/3/9
564,1993/3/10
565,1993/3/11
566,1993/3/12
567,1993/3/15
568,1993/3/16
569,1993/3/17
570,1993/3/18
571,1993/3/19
572,1993/3/22
573,1993/3/23
574,1993/3/24
575,1993/3/25
576,1993/3/26
577,1993/3/29
578,1993/3/30
579,1993/3/31
580,1993/4/1
581,1993/4/2
582,1993/4/5
583,1993/4/6
584,1993/4/7
585,1993/4/8
586,1993/4/9
587,1993/4/12
588,1993/4/13
589,1993/4/14
590,1993/4/15
591,1993/4/16
592,1993/4/19
593,1993/4/20
594,1993/4/21
595,1993/4/22
596,1993/4/23
597,1993/4/26
598,1993/4/27
599,1993/4/28
600,1993/4/29
601,1993/4/30
602,1993/5/3
603,1993/5/4
604,1993/5/5
605,1993/5/6
606,1993/5/7
607,1993/5/10
608,1993/5/11
609,1993/5/12
610,1993/5/13
611,1993/5/14
612,1993/5/17
613,1993/5/18
614,1993/5/19
615,1993/5/20
616,1993/5/21
617,1993/5/24
618,1993/5/25
619,1993/5/26
620,1993/5/27
621,1993/5/28
622,1993/5/31
623,1993/6/1
624,1993/6/2
625,1993/6/3
626,1993/6/4
627,1993/6/7
628,1993/6/8
629,1993/6/9
630,1993/6/10
631,1993/6/11
632,1993/6/14
633,1993/6/15
634,1993/6/16
635,1993/6/17
636,1993/6/18
637,1993/6/21
638,1993/6/22
639,1993/6/23
640,1993/6/24
641,1993/6/25
642,1993/6/28
643,1993/6/29
644,1993/6/30
645,1993/7/1
646,1993/7/2
647,1993/7/5
648,1993/7/6
649,1993/7/7
650,1993/7/8
651,1993/7/9
652,1993/7/12
653,1993/7/13
654,1993/7/14
655,1993/7/15
656,1993/7/16
657,1993/7/19
658,1993/7/20
659,1993/7/21
660,1993/7/22
661,1993/7/23
662,1993/7/26
663,1993/7/27
664,1993/7/28
665,1993/7/29
666,1993/7/30
667,1993/8/2
668,1993/8/3
669,1993/8/4
670,1993/8/5
671,1993/8/6
672,1993/8/9
673,1993/8/10
674,1993/8/11
675,1993/8/12
676,1993/8/13
677,1993/8/16
678,1993/8/17
679,1993/8/18
680,1993/8/19
681,1993/8/20
682,1993/8/23
683,1993/8/24
684,1993/8/25
685,1993/8/26
686,1993/8/27
687,1993/8/30
688,1993/8/31
689,1993/9/1
690,1993/9/2
691,1993/9/3
692,1993/9/6
693,1993/9/7
694,1993/9/8
695,1993/9/9
696,1993/9/10
697,1993/9/13
698,1993/9/14
699,1993/9/15
700,1993/9/16
701,1993/9/17
702,1993/9/20
703,1993/9/21
704,1993/9/22
705,1993/9/23
706,1993/9/24
707,1993/9/27
708,1993/9/28
709,1993/9/29
710,1993/9/30
711,1993/10/4
712,1993/10/5
713,1993/10/6
714,1993/10/7
715,1993/10/8
716,1993/10/11
717,1993/10/12
718,1993/10/13
719,1993/10/14
720,1993/10/15
721,1993/10/18
722,1993/10/19
723,1993/10/20
724,1993/10/21
725,1993/10/22
726,1993/10/25
727,1993/10/26
728,1993/10/27
729,1993/10/28
730,1993/10/29
731,1993/11/1
732,1993/11/2
733,1993/11/3
