date,csi1000,csi500,hs300,sse,amount
2004-12-31,0.0,0.0,0.0,0.0,100000.0
2005-01-04,50000.0,0.0,0.0,0.0,100000.0
2005-01-05,50595.94,0.0,0.0,0.0,101191.88
2005-01-06,50393.32,0.0,0.0,0.0,100786.65
2005-01-07,50550.57,0.0,0.0,0.0,101101.15
2005-01-10,50847.81,0.0,0.0,0.0,101695.62
2005-01-11,0.0,0.0,0.0,0.0,101870.52
2005-01-12,0.0,0.0,0.0,0.0,101870.52
2005-01-13,0.0,0.0,0.0,0.0,101870.52
2005-01-14,0.0,0.0,0.0,0.0,101870.52
2005-01-17,0.0,0.0,0.0,0.0,101870.52
2005-01-18,0.0,0.0,0.0,0.0,101870.52
2005-01-19,0.0,0.0,0.0,0.0,101870.52
2005-01-20,0.0,0.0,0.0,0.0,101870.52
2005-01-21,0.0,0.0,0.0,0.0,101870.52
2005-01-24,0.0,0.0,0.0,0.0,101870.52
2005-01-25,0.0,0.0,0.0,0.0,101870.52
2005-01-26,0.0,0.0,0.0,0.0,101870.52
2005-01-27,0.0,0.0,0.0,0.0,101870.52
2005-01-28,0.0,0.0,0.0,0.0,101870.52
2005-01-31,0.0,0.0,0.0,0.0,101870.52
2005-02-01,50935.26,0.0,0.0,0.0,101870.52
2005-02-02,52413.88,0.0,0.0,0.0,104827.77
2005-02-03,51825.13,0.0,0.0,0.0,103650.26
2005-02-04,52254.7,0.0,52254.7,0.0,104509.4
2005-02-16,52811.39,0.0,52811.39,0.0,105622.79
2005-02-17,0.0,0.0,52937.39,0.0,105874.79
2005-02-18,0.0,0.0,52560.02,0.0,105120.05
2005-02-21,0.0,0.0,53071.44,0.0,106142.88
2005-02-22,0.0,0.0,53617.63,0.0,107235.27
2005-02-23,0.0,0.0,53545.92,0.0,107091.85
2005-02-24,0.0,0.0,53584.8,0.0,107169.6
2005-02-25,0.0,0.0,53618.14,0.0,107236.29
2005-02-28,0.0,0.0,53444.7,0.0,106889.41
2005-03-01,53340.51,0.0,53340.51,0.0,106681.02
2005-03-02,52542.85,0.0,52542.85,0.0,105085.7
2005-03-03,52855.37,0.0,52855.37,0.0,105710.74
2005-03-04,52521.2,0.0,52521.2,0.0,105042.4
2005-03-07,52738.33,0.0,52738.33,0.0,105476.67
2005-03-08,0.0,0.0,53837.46,0.0,107674.92
2005-03-09,0.0,0.0,53774.77,0.0,107549.54
2005-03-10,0.0,0.0,53154.8,0.0,106309.61
2005-03-11,0.0,53285.19,0.0,0.0,106570.39
2005-03-14,0.0,53241.17,0.0,0.0,106482.34
2005-03-15,0.0,52873.07,0.0,0.0,105746.15
2005-03-16,0.0,52609.32,0.0,0.0,105218.65
2005-03-17,0.0,52263.11,0.0,0.0,104526.23
2005-03-18,0.0,51685.64,0.0,0.0,103371.28
2005-03-21,0.0,0.0,0.0,0.0,103373.68
2005-03-22,0.0,0.0,0.0,0.0,103373.68
2005-03-23,0.0,0.0,0.0,0.0,103373.68
2005-03-24,0.0,0.0,0.0,0.0,103373.68
2005-03-25,0.0,0.0,0.0,0.0,103373.68
2005-03-28,0.0,0.0,0.0,0.0,103373.68
2005-03-29,0.0,0.0,0.0,0.0,103373.68
2005-03-30,0.0,0.0,0.0,0.0,103373.68
2005-03-31,0.0,0.0,0.0,0.0,103373.68
2005-04-01,51686.84,0.0,0.0,0.0,103373.68
2005-04-04,51190.13,0.0,0.0,0.0,102380.27
2005-04-05,50901.97,0.0,0.0,0.0,101803.94
2005-04-06,51266.1,0.0,0.0,0.0,102532.2
2005-04-07,51687.63,0.0,0.0,0.0,103375.27
2005-04-08,0.0,0.0,0.0,0.0,104377.85
2005-04-11,0.0,0.0,0.0,0.0,104377.85
2005-04-12,0.0,0.0,0.0,0.0,104377.85
2005-04-13,0.0,0.0,0.0,0.0,104377.85
2005-04-14,0.0,0.0,0.0,0.0,104377.85
2005-04-15,0.0,0.0,0.0,0.0,104377.85
2005-04-18,0.0,0.0,0.0,0.0,104377.85
2005-04-19,0.0,0.0,0.0,0.0,104377.85
2005-04-20,0.0,0.0,0.0,0.0,104377.85
2005-04-21,0.0,0.0,52188.92,0.0,104377.85
2005-04-22,0.0,0.0,0.0,0.0,104108.05
2005-04-25,0.0,0.0,0.0,0.0,104108.05
2005-04-26,0.0,0.0,0.0,0.0,104108.05
2005-04-27,0.0,0.0,0.0,0.0,104108.05
2005-04-28,0.0,0.0,0.0,0.0,104108.05
2005-04-29,0.0,0.0,0.0,0.0,104108.05
2005-05-09,52054.02,0.0,0.0,0.0,104108.05
2005-05-10,52125.38,0.0,0.0,0.0,104250.76
2005-05-11,52087.69,0.0,0.0,0.0,104175.39
2005-05-12,51984.47,0.0,0.0,0.0,103968.95
2005-05-13,52338.45,0.0,0.0,0.0,104676.91
2005-05-16,0.0,0.0,0.0,0.0,104478.9
2005-05-17,0.0,0.0,0.0,0.0,104478.9
2005-05-18,0.0,0.0,0.0,0.0,104478.9
2005-05-19,0.0,0.0,0.0,0.0,104478.9
2005-05-20,0.0,0.0,0.0,0.0,104478.9
2005-05-23,0.0,0.0,0.0,0.0,104478.9
2005-05-24,0.0,0.0,0.0,0.0,104478.9
2005-05-25,0.0,0.0,0.0,0.0,104478.9
2005-05-26,0.0,0.0,0.0,0.0,104478.9
2005-05-27,0.0,0.0,0.0,0.0,104478.9
2005-05-30,0.0,0.0,0.0,0.0,104478.9
2005-05-31,0.0,0.0,0.0,0.0,104478.9
2005-06-01,52239.45,0.0,0.0,0.0,104478.9
2005-06-02,52112.92,0.0,0.0,0.0,104225.85
2005-06-03,52115.81,0.0,0.0,0.0,104231.63
2005-06-06,52453.82,0.0,0.0,0.0,104907.64
2005-06-07,52494.21,0.0,0.0,0.0,104988.43
2005-06-08,0.0,0.0,0.0,0.0,108975.75
2005-06-09,0.0,0.0,0.0,0.0,108975.75
2005-06-10,0.0,54487.87,0.0,0.0,108975.75
2005-06-13,0.0,54574.59,0.0,0.0,109149.18
2005-06-14,0.0,54049.25,0.0,0.0,108098.51
2005-06-15,0.0,53324.88,0.0,0.0,106649.76
2005-06-16,0.0,0.0,53582.21,0.0,107164.42
2005-06-17,0.0,0.0,0.0,0.0,107231.95
2005-06-20,0.0,0.0,0.0,0.0,107231.95
2005-06-21,0.0,0.0,0.0,0.0,107231.95
2005-06-22,0.0,0.0,53615.97,0.0,107231.95
2005-06-23,0.0,0.0,53405.41,0.0,106810.83
2005-06-24,0.0,0.0,53546.73,0.0,107093.46
2005-06-27,0.0,0.0,54075.52,0.0,108151.04
2005-06-28,0.0,0.0,53711.68,0.0,107423.36
2005-06-29,0.0,0.0,53568.5,0.0,107137.0
2005-06-30,0.0,0.0,52966.25,0.0,105932.5
2005-07-01,52387.81,0.0,52387.81,0.0,104775.63
2005-07-04,51991.52,0.0,51991.52,0.0,103983.04
2005-07-05,51603.78,0.0,51603.78,0.0,103207.56
